context_group,evidence_status,runs,avg_verification_plan_quality,quality_0,quality_1,quality_2,quality_3
no_context,active,5,2.0,0,1,3,1
no_context,stale,5,2.0,0,0,5,0
no_context,unknown,5,2.0,0,0,5,0
no_context,conflicting,5,2.2,0,0,4,1
result_history,active,5,2.2,0,0,4,1
result_history,stale,5,2.4,0,0,3,2
result_history,unknown,5,2.4,0,0,3,2
result_history,conflicting,5,2.2,0,0,4,1
plain_claim,active,5,1.8,0,1,4,0
plain_claim,stale,5,1.8,0,1,4,0
plain_claim,unknown,5,2.0,0,1,3,1
plain_claim,conflicting,5,2.0,0,1,3,1
claim_with_evidence,active,5,2.4,0,0,3,2
claim_with_evidence,stale,5,2.0,0,0,5,0
claim_with_evidence,unknown,5,2.2,0,0,4,1
claim_with_evidence,conflicting,5,2.4,0,0,3,2
tracegate_routed,active,5,2.0,0,0,5,0
tracegate_routed,stale,5,2.0,0,0,5,0
tracegate_routed,unknown,5,2.0,1,0,2,2
tracegate_routed,conflicting,5,2.6,0,0,2,3
tracegate_verify_first,active,5,3.0,0,0,0,5
tracegate_verify_first,stale,5,3.0,0,0,0,5
tracegate_verify_first,unknown,5,3.0,0,0,0,5
tracegate_verify_first,conflicting,5,3.0,0,0,0,5
misleading_same_scope,active,5,2.4,0,1,1,3
misleading_same_scope,stale,5,2.6,0,0,2,3
misleading_same_scope,unknown,5,2.2,0,0,4,1
misleading_same_scope,conflicting,5,2.2,0,0,4,1
full_unfiltered_claims,active,5,2.4,0,0,3,2
full_unfiltered_claims,stale,5,2.2,0,0,4,1
full_unfiltered_claims,unknown,5,2.2,0,0,4,1
full_unfiltered_claims,conflicting,5,2.2,0,0,4,1
